strategy,a,n,profit,gas_used,detected,detection_risk,alpha,delta,gas_price,victim_balance,logfile,uuid
uniform,20,5,80,150000,False,4,1e+16,1.325e+17,5.0,100000.0,uniform_a646d444-677b-47ad-99f1-21a67c2a3b74.json,a646d444-677b-47ad-99f1-21a67c2a3b74
optimized,100,1,200,30000,False,1,,,,,optimized_a57ab034-f461-49ab-a399-5198f0de3755.json,a57ab034-f461-49ab-a399-5198f0de3755
greedy,100,1,100,30000,False,1,,,,,greedy_92417b64-7627-42f2-b3b9-dfbc62eddc87.json,92417b64-7627-42f2-b3b9-dfbc62eddc87
greedy,100,1,100,30000,False,1,1e+16,1e+16,1000.0,10000000.0,greedy_d1ef4aa4-a9d6-46c0-93f2-53485209d40a.json,d1ef4aa4-a9d6-46c0-93f2-53485209d40a
greedy,100,1,100,30000,False,1,1e+16,2.55e+17,31.0,10000000.0,greedy_90aa7113-269d-4c3d-b1c5-09bad1483a9f.json,90aa7113-269d-4c3d-b1c5-09bad1483a9f
optimized,100,1,200,30000,False,50,5e+17,1e+16,1000.0,1000000.0,optimized_f9fb57a4-2353-45ec-bb65-24286e1f5ab8.json,f9fb57a4-2353-45ec-bb65-24286e1f5ab8
uniform,20,5,80,150000,False,4,,,,,uniform_ea935238-7cad-4c01-a562-fc57871d2bc3.json,ea935238-7cad-4c01-a562-fc57871d2bc3
optimized,100,1,200,30000,False,1,,,,,optimized_59e343dd-16e1-4d77-8ea1-2e4405f6d52b.json,59e343dd-16e1-4d77-8ea1-2e4405f6d52b
uniform,20,5,80,150000,False,4,,,,,uniform_96aa5bb9-4a86-428a-98c0-f552399628be.json,96aa5bb9-4a86-428a-98c0-f552399628be
uniform,20,5,0,150000,False,4,1e+16,2.55e+17,177.0,100000.0,uniform_0afdf22e-5bab-405a-9aeb-0ed2e33cac1d.json,0afdf22e-5bab-405a-9aeb-0ed2e33cac1d
optimized,100,1,200,30000,False,1,0.3775,0.1325,5.0,1000.0,optimized_28038089-667c-44f2-abe6-d1a99da671b6.json,28038089-667c-44f2-abe6-d1a99da671b6
uniform,20,5,80,150000,False,4,,,,,uniform_ed82e2fd-cfe4-4007-ad90-f6d9fd935eb1.json,ed82e2fd-cfe4-4007-ad90-f6d9fd935eb1
greedy,100,1,100,30000,False,1,0.3775,0.1325,1.0,1000.0,greedy_cfdc25f5-087a-4160-8826-792d7591d241.json,cfdc25f5-087a-4160-8826-792d7591d241
greedy,100,1,100,30000,False,1,0.1325,0.3775,1.0,100000.0,greedy_16e4398f-1add-4651-8961-2c3780dcf590.json,16e4398f-1add-4651-8961-2c3780dcf590
